base_name,shape_id,shape_type,label
ADAPT_Template,ADAPT_Template.none,none,none
DimCalendar,DimCalendar.f77LYvtL0lH_vqSuSwCJ-1,Dimension,Calendar
DimCalendar,DimCalendar.f77LYvtL0lH_vqSuSwCJ-7,Hierarchy,QM Hierarchy (no year)
DimCalendar,DimCalendar.f77LYvtL0lH_vqSuSwCJ-15,Hierarchy,YQMD Hierarchy
DimCalendar,DimCalendar.f77LYvtL0lH_vqSuSwCJ-23,Hierarchy,YMD Hierarchy
DimCalendar,DimCalendar.f77LYvtL0lH_vqSuSwCJ-31,Hierarchy,YWD Hierarchy
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-55,HierarchyLevel,Quarter (no year)
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-61,HierarchyLevel,Month (no year)
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-67,HierarchyLevel,Year
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-73,HierarchyLevel,Quarter
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-79,HierarchyLevel,Year
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-85,HierarchyLevel,Year
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-96,HierarchyLevel,Month
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-103,HierarchyLevel,Week
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-109,HierarchyLevel,Day
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-117,Comment,Müssen hier auch zwei Hierarchien (eine mit und eine ohne Quartal) erstellt werden?
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-118,Comment,"Welche Hierarchien sollen in ADAPT eigentlich dargestellt werden, die natürlichen Abhängigkeiten oder die im Reporting verfügbaren Auswertepfade? Das Quartal könnte ja übersprungen werden oder es könnte sogar ein Halbjahr dazwischengeschoben werden."
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-146,Attribute,Date
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-150,Attribute,Weekday
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-186,MeasureDimension,Measures
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-187,MeasureGroup,Advice Line
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-201,DimensionMember,Bruttoumsatz
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-222,Function,<div>(Nettoumsatz *&nbsp;</div><div>Umsatzsteuer / 100)</div><div>+ Ausgleichsfaktor</div>
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-296,DimensionMember,Nettoumsatz
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-318,DimensionScope,warm months
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-321,DimensionScope,cold months
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-324,DimensionScope,sunny months
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-327,DimensionScope,windy months
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-330,DimensionScope,rainy months
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-333,FullyExclusive,by temperature
DimCalendar,DimCalendar.vdX0nlRlNV5u23rPeZXY-338,FullyOverlapping,by weather
DimLocation,DimLocation.none,none,none
DimTimestamp,DimTimestamp.JcKF2ojR-ty8W29sog4p-103,Dimension,Timestamp
DimTimestamp,DimTimestamp.JcKF2ojR-ty8W29sog4p-109,Hierarchy,HH_MM_SS
DimTimestamp,DimTimestamp.JcKF2ojR-ty8W29sog4p-138,Hierarchy,<Hierarchy>
DimTimestamp,DimTimestamp.JcKF2ojR-ty8W29sog4p-146,Dimension,<Dimension>
DimTimestamp,DimTimestamp.JcKF2ojR-ty8W29sog4p-152,HierarchyLevel,<Hierarchy Level>
FactAdviceLine,FactAdviceLine.none,none,none
