base_name,source_type,source_label,connection_type,connection_label,target_type,target_label,connection_id,source_shape_id,target_shape_id
ADAPT_Template,none,none,SelfPrecedence,none,none,none,ADAPT_Template.none,ADAPT_Template.none,ADAPT_Template.none
DimArticle,Dimension,Article,LoosePrecedence,,Hierarchy,Article Hierarchy,DimArticle.3ULKT6b0YpKw7mlDAFzM-26,DimArticle.3ULKT6b0YpKw7mlDAFzM-1,DimArticle.3ULKT6b0YpKw7mlDAFzM-13
DimArticle,Hierarchy,Article Hierarchy,StrictPrecedence,,HierarchyLevel,Article,DimArticle.3ULKT6b0YpKw7mlDAFzM-27,DimArticle.3ULKT6b0YpKw7mlDAFzM-13,DimArticle.3ULKT6b0YpKw7mlDAFzM-21
DimArticle,HierarchyLevel,Article,LoosePrecedence,,Attribute,EAN,DimArticle.3ULKT6b0YpKw7mlDAFzM-31,DimArticle.3ULKT6b0YpKw7mlDAFzM-21,DimArticle.3ULKT6b0YpKw7mlDAFzM-28
DimCalendar,Dimension,Calendar,LoosePrecedence,,Hierarchy,QM Hierarchy (no year),DimCalendar.f77LYvtL0lH_vqSuSwCJ-39,DimCalendar.f77LYvtL0lH_vqSuSwCJ-1,DimCalendar.f77LYvtL0lH_vqSuSwCJ-7
DimCalendar,HierarchyLevel,Quarter (no year),StrictPrecedence,,HierarchyLevel,Month (no year),DimCalendar.vdX0nlRlNV5u23rPeZXY-66,DimCalendar.vdX0nlRlNV5u23rPeZXY-55,DimCalendar.vdX0nlRlNV5u23rPeZXY-61
DimCalendar,HierarchyLevel,Year,StrictPrecedence,,HierarchyLevel,Quarter,DimCalendar.vdX0nlRlNV5u23rPeZXY-78,DimCalendar.vdX0nlRlNV5u23rPeZXY-67,DimCalendar.vdX0nlRlNV5u23rPeZXY-73
DimCalendar,Hierarchy,QM Hierarchy (no year),LoosePrecedence,,HierarchyLevel,Quarter (no year),DimCalendar.vdX0nlRlNV5u23rPeZXY-91,DimCalendar.f77LYvtL0lH_vqSuSwCJ-7,DimCalendar.vdX0nlRlNV5u23rPeZXY-55
DimCalendar,HierarchyLevel,Year,StrictPrecedence,,HierarchyLevel,Month,DimCalendar.vdX0nlRlNV5u23rPeZXY-101,DimCalendar.vdX0nlRlNV5u23rPeZXY-79,DimCalendar.vdX0nlRlNV5u23rPeZXY-96
DimCalendar,HierarchyLevel,Quarter,StrictPrecedence,,HierarchyLevel,Month,DimCalendar.vdX0nlRlNV5u23rPeZXY-102,DimCalendar.vdX0nlRlNV5u23rPeZXY-73,DimCalendar.vdX0nlRlNV5u23rPeZXY-96
